Chromosome1: Chr1 (1-230218)
Chromosome, Start, End,   D, Name, 
Chromosome2: Chr2 (1-813184)
Chromosome, Start, End,  D, Name, gbkey, gene, gene_biotype, locus_tag
Chr3,94621,95763,gene-YCL016C,DCC1,Gene,DCC1,protein_coding,YCL016C
Chr3,96281,101191,gene-YCL014W,BUD3,Gene,BUD3,protein_coding,YCL014W
Chr3,108021,108791,gene-YCL005W,LDB16,Gene,LDB16,protein_coding,YCL005W
Chr3,117380,118348,gene-YCR002C,CDC10,Gene,CDC10,protein_coding,YCR002C
Chr3,132273,133124,gene-YCR010C,ADY2,Gene,ADY2,protein_coding,YCR010C
Chr3,133724,136873,gene-YCR011C,ADP1,Gene,ADP1,protein_coding,YCR011C
Chr3,148238,148903,gene-YCR018C,SRD1,Gene,SRD1,protein_coding,YCR018C
Chr3,197621,199549,gene-YCR038C,BUD5,Gene,BUD5,protein_coding,YCR038C
Chr3,210718,211545,gene-YCR047C,BUD23,Gene,BUD23,protein_coding,YCR047C
Chr3,228318,228791,gene-YCR063W,BUD31,Gene,BUD31,protein_coding,YCR063W
Chr3,231500,232963,gene-YCR066W,RAD18,Gene,RAD18,protein_coding,YCR066W
Chr3,233125,236322,gene-YCR067C,SED4,Gene,SED4,protein_coding,YCR067C
Chr3,280117,286443,gene-YCR093W,CDC39,Gene,CDC39,protein_coding,YCR093W
Chr3,286762,287937,gene-YCR094W,CDC50,Gene,CDC50,protein_coding,YCR094W
Chr3,309070,310155,gene-YCR105W,ADH7,Gene,ADH7,protein_coding,YCR105W
Chr3,310958,313456,gene-YCR106W,RDS1,Gene,RDS1,protein_coding,YCR106W
Chr3,313890,314981,gene-YCR107W,AAD3,Gene,AAD3,protein_coding,YCR107W
Chromosome4: Chr4 (1-1531933)
Chromosome, Start, End,  D, Name, gbkey, gene, gene_biotype, locus_tag
Chr4,1802,2953,gene-YDL248W,COS7,Gene,COS7,protein_coding,YDL248W
Chr4,5985,7814,gene-YDL247W,MPH2,Gene,MPH2,protein_coding,YDL247W
Chr4,8683,9756,gene-YDL246C,SOR2,Gene,SOR2,protein_coding,YDL246C
Chr4,11657,13360,gene-YDL245C,HXT15,Gene,HXT15,protein_coding,YDL245C
Chr4,16204,17226,gene-YDL244W,THI13,Gene,THI13,protein_coding,YDL244W
Chr4,17577,18566,gene-YDL243C,AAD4,Gene,AAD4,protein_coding,YDL243C
Chr4,18959,19312,gene-YDL242W,YDL242W,Gene, ,protein_coding,YDL242W
Chr4,20635,21006,gene-YDL241W,YDL241W,Gene, ,protein_coding,YDL241W
Chr4,22823,25876,gene-YDL240W,LRG1,Gene,LRG1,protein_coding,YDL240W
Chr4,26403,28775,gene-YDL239C,ADY3,Gene,ADY3,protein_coding,YDL239C
Chr4,28985,30454,gene-YDL238C,GUD1,Gene,GUD1,protein_coding,YDL238C
Chr4,30657,31829,gene-YDL237W,AIM6,Gene,AIM6,protein_coding,YDL237W
Chr4,32296,33234,gene-YDL236W,PHO13,Gene,PHO13,protein_coding,YDL236W
Chr4,33415,33918,gene-YDL235C,YPD1,Gene,YPD1,protein_coding,YDL235C
Chr4,34237,36477,gene-YDL234C,GYP7,Gene,GYP7,protein_coding,YDL234C
Chr4,36797,38173,gene-YDL233W,MFG1,Gene,MFG1,protein_coding,YDL233W
Chr4,38487,38597,gene-YDL232W,OST4,Gene,OST4,protein_coding,YDL232W
Chr4,38867,42244,gene-YDL231C,BRE4,Gene,BRE4,protein_coding,YDL231C
Chr4,42700,43707,gene-YDL230W,PTP1,Gene,PTP1,protein_coding,YDL230W
Chr4,44065,45906,gene-YDL229W,SSB1,Gene,SSB1,protein_coding,YDL229W
Chr4,46271,48031,gene-YDL227C,HO,Gene,HO,protein_coding,YDL227C
Chr4,51115,52173,gene-YDL226C,GCS1,Gene,GCS1,protein_coding,YDL226C
Chr4,52445,54100,gene-YDL225W,SHS1,Gene,SHS1,protein_coding,YDL225W
Chr4,54397,56346,gene-YDL224C,WHI4,Gene,WHI4,protein_coding,YDL224C
Chr4,57265,60405,gene-YDL223C,HBT1,Gene,HBT1,protein_coding,YDL223C
Chr4,60872,61801,gene-YDL222C,FMP45,Gene,FMP45,protein_coding,YDL222C
Chr4,62244,65018,gene-YDL220C,CDC13,Gene,CDC13,protein_coding,YDL220C
Chr4,65242,65765,gene-YDL219W,DTD1,Gene,DTD1,protein_coding,YDL219W
Chr4,66493,67446,gene-YDL218W,YDL218W,Gene, ,protein_coding,YDL218W
Chr4,67983,68606,gene-YDL217C,TIM22,Gene,TIM22,protein_coding,YDL217C
Chr4,68997,70319,gene-YDL216C,RRI1,Gene,RRI1,protein_coding,YDL216C
Chr4,70640,73918,gene-YDL215C,GDH2,Gene,GDH2,protein_coding,YDL215C
Chr4,74446,76545,gene-YDL214C,PRR2,Gene,PRR2,protein_coding,YDL214C
Chr4,77289,77966,gene-YDL213C,NOP6,Gene,NOP6,protein_coding,YDL213C
Chr4,78426,79058,gene-YDL212W,SHR3,Gene,SHR3,protein_coding,YDL212W
Chr4,79294,80412,gene-YDL211C,YDL211C,Gene, ,protein_coding,YDL211C
Chr4,83548,83618,gene-YNCD0001W,YNCD0001W,Gene, ,tRNA,YNCD0001W
Chr4,84270,85985,gene-YDL210W,UGA4,Gene,UGA4,protein_coding,YDL210W
Chr4,86207,87226,gene-YDL209C,CWC2,Gene,CWC2,protein_coding,YDL209C
Chr4,87512,87982,gene-YDL208W,NHP2,Gene,NHP2,protein_coding,YDL208W
Chr4,88248,89864,gene-YDL207W,GLE1,Gene,GLE1,protein_coding,YDL207W
Chr4,90176,92464,gene-YDL206W,YDL206W,Gene, ,protein_coding,YDL206W
Chr4,92762,93745,gene-YDL205C,HEM3,Gene,HEM3,protein_coding,YDL205C
Chr4,94605,95786,gene-YDL204W,RTN2,Gene,RTN2,protein_coding,YDL204W
Chr4,96082,97953,gene-YDL203C,ACK1,Gene,ACK1,protein_coding,YDL203C
Chr4,98475,99224,gene-YDL202W,MRPL11,Gene,MRPL11,protein_coding,YDL202W
Chr4,99561,100421,gene-YDL201W,TRM8,Gene,TRM8,protein_coding,YDL201W
Chr4,100501,101067,gene-YDL200C,MGT1,Gene,MGT1,protein_coding,YDL200C
Chr4,101290,103353,gene-YDL199C,YDL199C,Gene, ,protein_coding,YDL199C
Chr4,103649,104551,gene-YDL198C,GGC1,Gene,GGC1,protein_coding,YDL198C
Chr4,104917,106494,gene-YDL197C,ASF2,Gene,ASF2,protein_coding,YDL197C
Chr4,107208,111029,gene-YDL195W,SEC31,Gene,SEC31,protein_coding,YDL195W
Chr4,111580,114234,gene-YDL194W,SNF3,Gene,SNF3,protein_coding,YDL194W
Chr4,114672,115799,gene-YDL193W,NUS1,Gene,NUS1,protein_coding,YDL193W
Chr4,116321,116866,gene-YDL192W,ARF1,Gene,ARF1,protein_coding,YDL192W
Chr4,117664,118517,gene-YDL191W,RPL35A,Gene,RPL35A,protein_coding,YDL191W
Chr4,118707,121592,gene-YDL190C,UFD2,Gene,UFD2,protein_coding,YDL190C
Chr4,122216,123589,gene-YDL189W,RBS1,Gene,RBS1,protein_coding,YDL189W
Chr4,123865,124998,gene-YDL188C,PPH22,Gene,PPH22,protein_coding,YDL188C
Chr4,125616,126449,gene-YDL186W,YDL186W,Gene, ,protein_coding,YDL186W
Chr4,126787,130002,gene-YDL185W,VMA1,Gene,VMA1,protein_coding,YDL185W
Chr4,130407,130484,gene-YDL184C,RPL41A,Gene,RPL41A,protein_coding,YDL184C
Chr4,130871,131833,gene-YDL183C,MRX19,Gene,MRX19,protein_coding,YDL183C
Chr4,133437,134723,gene-YDL182W,LYS20,Gene,LYS20,protein_coding,YDL182W
Chr4,135179,135436,gene-YDL181W,INH1,Gene,INH1,protein_coding,YDL181W
Chr4,135896,137539,gene-YDL180W,AIT1,Gene,AIT1,protein_coding,YDL180W
Chr4,138291,139205,gene-YDL179W,PCL9,Gene,PCL9,protein_coding,YDL179W
Chr4,139522,141114,gene-YDL178W,DLD2,Gene,DLD2,protein_coding,YDL178W
Chr4,141209,141721,gene-YDL177C,YDL177C,Gene, ,protein_coding,YDL177C
Chr4,142097,144223,gene-YDL176W,GID12,Gene,GID12,protein_coding,YDL176W
Chr4,144484,145518,gene-YDL175C,AIR2,Gene,AIR2,protein_coding,YDL175C
Chr4,145826,147589,gene-YDL174C,DLD1,Gene,DLD1,protein_coding,YDL174C
Chr4,148191,149078,gene-YDL173W,PAR32,Gene,PAR32,protein_coding,YDL173W
Chr4,149203,155640,gene-YDL171C,GLT1,Gene,GLT1,protein_coding,YDL171C
Chr4,156318,157904,gene-YDL170W,UGA3,Gene,UGA3,protein_coding,YDL170W
Chr4,158064,158735,gene-YDL169C,UGX2,Gene,UGX2,protein_coding,YDL169C
Chr4,159604,160764,gene-YDL168W,SFA1,Gene,SFA1,protein_coding,YDL168W
Chr4,160995,163154,gene-YDL167C,NRP1,Gene,NRP1,protein_coding,YDL167C
Chr4,163449,164042,gene-YDL166C,FAP7,Gene,FAP7,protein_coding,YDL166C
Chr4,164290,164865,gene-YDL165W,CDC36,Gene,CDC36,protein_coding,YDL165W
Chr4,164987,167254,gene-YDL164C,CDC9,Gene,CDC9,protein_coding,YDL164C
Chr4,167714,169078,gene-YDL161W,ENT1,Gene,ENT1,protein_coding,YDL161W
Chr4,169366,169608,gene-YDL160C-A,MHF2,Gene,MHF2,protein_coding,YDL160C-A
Chr4,170410,171930,gene-YDL160C,DHH1,Gene,DHH1,protein_coding,YDL160C
Chr4,172182,172313,gene-YDL159W-A,YDL159W-A,Gene, ,protein_coding,YDL159W-A
Chr4,172481,174028,gene-YDL159W,STE7,Gene,STE7,protein_coding,YDL159W
Chr4,174232,174588,gene-YDL157C,DMO2,Gene,DMO2,protein_coding,YDL157C
Chr4,174918,176486,gene-YDL156W,CMR1,Gene,CMR1,protein_coding,YDL156W
Chr4,176773,178056,gene-YDL155W,CLB3,Gene,CLB3,protein_coding,YDL155W
Chr4,178334,181039,gene-YDL154W,MSH5,Gene,MSH5,protein_coding,YDL154W
Chr4,181186,183018,gene-YDL153C,SAS10,Gene,SAS10,protein_coding,YDL153C
Chr4,183343,184611,gene-YDL150W,RPC53,Gene,RPC53,protein_coding,YDL150W
Chr4,184925,187918,gene-YDL149W,ATG9,Gene,ATG9,protein_coding,YDL149W
Chr4,188154,190586,gene-YDL148C,NOP14,Gene,NOP14,protein_coding,YDL148C
Chr4,190924,192261,gene-YDL147W,RPN5,Gene,RPN5,protein_coding,YDL147W
Chr4,192750,194225,gene-YDL146W,LDB17,Gene,LDB17,protein_coding,YDL146W
Chr4,194571,198176,gene-YDL145C,COP1,Gene,COP1,protein_coding,YDL145C
Chr4,198662,199732,gene-YDL144C,YDL144C,Gene, ,protein_coding,YDL144C
Chr4,199996,201582,gene-YDL143W,CCT4,Gene,CCT4,protein_coding,YDL143W
Chr4,201719,202570,gene-YDL142C,CRD1,Gene,CRD1,protein_coding,YDL142C
Chr4,203039,205111,gene-YDL141W,BPL1,Gene,BPL1,protein_coding,YDL141W
Chr4,205360,210561,gene-YDL140C,RPO21,Gene,RPO21,protein_coding,YDL140C
Chr4,211375,212046,gene-YDL139C,SCM3,Gene,SCM3,protein_coding,YDL139C
Chr4,213351,215642,gene-YDL138W,RGT2,Gene,RGT2,protein_coding,YDL138W
Chr4,216529,217074,gene-YDL137W,ARF2,Gene,ARF2,protein_coding,YDL137W
Chr4,217600,218367,gene-YDL136W,RPL35B,Gene,RPL35B,protein_coding,YDL136W
Chr4,218680,219288,gene-YDL135C,RDI1,Gene,RDI1,protein_coding,YDL135C
Chr4,219662,220771,gene-YDL134C,PPH21,Gene,PPH21,protein_coding,YDL134C
Chr4,221724,221801,gene-YDL133C-A,RPL41B,Gene,RPL41B,protein_coding,YDL133C-A
Chr4,222427,223740,gene-YDL133W,SRF1,Gene,SRF1,protein_coding,YDL133W
Chr4,224304,226751,gene-YDL132W,CDC53,Gene,CDC53,protein_coding,YDL132W
Chr4,227393,228715,gene-YDL131W,LYS21,Gene,LYS21,protein_coding,YDL131W
Chr4,229171,229431,gene-YDL130W-A,STF1,Gene,STF1,protein_coding,YDL130W-A
Chr4,229906,230527,gene-YDL130W,RPP1B,Gene,RPP1B,protein_coding,YDL130W
Chr4,231024,231899,gene-YDL129W,YDL129W,Gene, ,protein_coding,YDL129W
Chr4,232652,233887,gene-YDL128W,VCX1,Gene,VCX1,protein_coding,YDL128W
Chr4,234927,235853,gene-YDL127W,PCL2,Gene,PCL2,protein_coding,YDL127W
Chr4,236157,238664,gene-YDL126C,CDC48,Gene,CDC48,protein_coding,YDL126C
Chr4,239019,239606,gene-YDL125C,HNT1,Gene,HNT1,protein_coding,YDL125C
Chr4,240259,241197,gene-YDL124W,YDL124W,Gene, ,protein_coding,YDL124W
Chr4,241418,241840,gene-YDL123W,SNA4,Gene,SNA4,protein_coding,YDL123W
Chr4,242552,244981,gene-YDL122W,UBP1,Gene,UBP1,protein_coding,YDL122W
Chr4,245133,245582,gene-YDL121C,EXP1,Gene,EXP1,protein_coding,YDL121C
Chr4,245923,246447,gene-YDL120W,YFH1,Gene,YFH1,protein_coding,YDL120W
Chr4,246689,247612,gene-YDL119C,HEM25,Gene,HEM25,protein_coding,YDL119C
Chr4,248581,251238,gene-YDL117W,CYK3,Gene,CYK3,protein_coding,YDL117W
Chr4,251566,253746,gene-YDL116W,NUP84,Gene,NUP84,protein_coding,YDL116W
Chr4,253995,255126,gene-YDL115C,IWR1,Gene,IWR1,protein_coding,YDL115C
Chr4,255604,256530,gene-YDL114W,YDL114W,Gene, ,protein_coding,YDL114W
Chr4,256633,258555,gene-YDL113C,ATG20,Gene,ATG20,protein_coding,YDL113C
Chr4,258915,263225,gene-YDL112W,TRM3,Gene,TRM3,protein_coding,YDL112W
Chr4,263313,264110,gene-YDL111C,RRP42,Gene,RRP42,protein_coding,YDL111C
Chr4,264512,264964,gene-YDL110C,TMA17,Gene,TMA17,protein_coding,YDL110C
Chr4,265258,267201,gene-YDL109C,YDL109C,Gene, ,protein_coding,YDL109C
Chr4,267698,268699,gene-YDL108W,KIN28,Gene,KIN28,protein_coding,YDL108W
Chr4,268921,269976,gene-YDL107W,MSS2,Gene,MSS2,protein_coding,YDL107W
Chr4,270222,271901,gene-YDL106C,PHO2,Gene,PHO2,protein_coding,YDL106C
Chr4,272389,273597,gene-YDL105W,NSE4,Gene,NSE4,protein_coding,YDL105W
Chr4,273653,274876,gene-YDL104C,QRI7,Gene,QRI7,protein_coding,YDL104C
Chr4,275148,276581,gene-YDL103C,QRI1,Gene,QRI1,protein_coding,YDL103C
Chr4,276872,280165,gene-YDL102W,POL3,Gene,POL3,protein_coding,YDL102W
Chr4,280307,281848,gene-YDL101C,DUN1,Gene,DUN1,protein_coding,YDL101C
Chr4,282112,283176,gene-YDL100C,GET3,Gene,GET3,protein_coding,YDL100C
Chr4,283419,284444,gene-YDL099W,BUG1,Gene,BUG1,protein_coding,YDL099W
Chr4,284581,285165,gene-YDL098C,SNU23,Gene,SNU23,protein_coding,YDL098C
Chr4,285391,286695,gene-YDL097C,RPN6,Gene,RPN6,protein_coding,YDL097C
Chr4,287059,289512,gene-YDL095W,PMT1,Gene,PMT1,protein_coding,YDL095W
Chr4,289909,292140,gene-YDL093W,PMT5,Gene,PMT5,protein_coding,YDL093W
Chr4,292781,293221,gene-YDL092W,SRP14,Gene,SRP14,protein_coding,YDL092W
Chr4,293392,294759,gene-YDL091C,UBX3,Gene,UBX3,protein_coding,YDL091C
Chr4,295034,296329,gene-YDL090C,RAM1,Gene,RAM1,protein_coding,YDL090C
Chr4,296820,298274,gene-YDL089W,NUR1,Gene,NUR1,protein_coding,YDL089W
Chr4,298417,300003,gene-YDL088C,ASM4,Gene,ASM4,protein_coding,YDL088C
Chr4,300214,300999,gene-YDL087C,LUC7,Gene,LUC7,protein_coding,YDL087C
Chr4,301413,302234,gene-YDL086W,YDL086W,Gene, ,protein_coding,YDL086W
Chr4,302464,302670,gene-YDL085C-A,YDL085C-A,Gene, ,protein_coding,YDL085C-A
Chr4,303211,304848,gene-YDL085W,NDE2,Gene,NDE2,protein_coding,YDL085W
Chr4,305237,306577,gene-YDL084W,SUB2,Gene,SUB2,protein_coding,YDL084W
Chr4,306926,307789,gene-YDL083C,RPS16B,Gene,RPS16B,protein_coding,YDL083C
Chr4,308424,309388,gene-YDL082W,RPL13A,Gene,RPL13A,protein_coding,YDL082W
Chr4,309802,310122,gene-YDL081C,RPP1A,Gene,RPP1A,protein_coding,YDL081C
Chr4,310642,312471,gene-YDL080C,THI3,Gene,THI3,protein_coding,YDL080C
Chr4,312951,314748,gene-YDL079C,MRK1,Gene,MRK1,protein_coding,YDL079C
Chr4,315357,316388,gene-YDL078C,MDH3,Gene,MDH3,protein_coding,YDL078C
Chr4,316971,320120,gene-YDL077C,VAM6,Gene,VAM6,protein_coding,YDL077C
Chr4,320668,321552,gene-YDL076C,RXT3,Gene,RXT3,protein_coding,YDL076C
Chr4,322226,322988,gene-YDL075W,RPL31A,Gene,RPL31A,protein_coding,YDL075W
Chr4,323217,323471,gene-YNCD0002C,SNR63,Gene,SNR63,snoRNA,YNCD0002C
Chr4,324047,326149,gene-YDL074C,BRE1,Gene,BRE1,protein_coding,YDL074C
Chr4,326613,329567,gene-YDL073W,AHK1,Gene,AHK1,protein_coding,YDL073W
Chr4,329836,330447,gene-YDL072C,YET3,Gene,YET3,protein_coding,YDL072C
Chr4,331024,332940,gene-YDL070W,BDF2,Gene,BDF2,protein_coding,YDL070W
Chr4,333121,333810,gene-YDL069C,CBS1,Gene,CBS1,protein_coding,YDL069C
Chr4,334217,334396,gene-YDL067C,COX9,Gene,COX9,protein_coding,YDL067C
Chr4,334835,336121,gene-YDL066W,IDP1,Gene,IDP1,protein_coding,YDL066W
Chr4,336249,337277,gene-YDL065C,PEX19,Gene,PEX19,protein_coding,YDL065C
Chr4,337487,338070,gene-YDL064W,UBC9,Gene,UBC9,protein_coding,YDL064W
Chr4,338272,340134,gene-YDL063C,SYO1,Gene,SYO1,protein_coding,YDL063C
Chr4,340628,340798,gene-YDL061C,RPS29B,Gene,RPS29B,protein_coding,YDL061C
Chr4,341619,343985,gene-YDL060W,TSR1,Gene,TSR1,protein_coding,YDL060W
Chr4,344237,344953,gene-YDL059C,RAD59,Gene,RAD59,protein_coding,YDL059C
Chr4,345665,351037,gene-YDL058W,USO1,Gene,USO1,protein_coding,YDL058W
Chr4,351434,352420,gene-YDL057W,YDL057W,Gene, ,protein_coding,YDL057W
Chr4,352877,355378,gene-YDL056W,MBP1,Gene,MBP1,protein_coding,YDL056W
Chr4,355674,356759,gene-YDL055C,PSA1,Gene,PSA1,protein_coding,YDL055C
Chr4,359577,359672,gene-YNCD0003W,YNCD0003W,Gene, ,tRNA,YNCD0003W
Chr4,359825,361285,gene-YDL054C,MCH1,Gene,MCH1,protein_coding,YDL054C
Chr4,361699,362256,gene-YDL053C,PBP4,Gene,PBP4,protein_coding,YDL053C
Chr4,362672,363583,gene-YDL052C,SLC1,Gene,SLC1,protein_coding,YDL052C
Chr4,363952,364779,gene-YDL051W,LHP1,Gene,LHP1,protein_coding,YDL051W
Chr4,365068,365874,gene-YDL049C,KNH1,Gene,KNH1,protein_coding,YDL049C
Chr4,366739,368211,gene-YDL048C,STP4,Gene,STP4,protein_coding,YDL048C
Chr4,369771,370706,gene-YDL047W,SIT4,Gene,SIT4,protein_coding,YDL047W
Chr4,371240,371761,gene-YDL046W,NPC2,Gene,NPC2,protein_coding,YDL046W
Chr4,372248,372535,gene-YDL045W-A,MRP10,Gene,MRP10,protein_coding,YDL045W-A
Chr4,372688,373608,gene-YDL045C,FAD1,Gene,FAD1,protein_coding,YDL045C
Chr4,373967,375289,gene-YDL044C,MTF2,Gene,MTF2,protein_coding,YDL044C
Chr4,375680,376480,gene-YDL043C,PRP11,Gene,PRP11,protein_coding,YDL043C
Chr4,376757,378445,gene-YDL042C,SIR2,Gene,SIR2,protein_coding,YDL042C
Chr4,378874,381438,gene-YDL040C,NAT1,Gene,NAT1,protein_coding,YDL040C
Chr4,381985,384081,gene-YDL039C,PRM7,Gene,PRM7,protein_coding,YDL039C
Chr4,384601,385587,gene-YDL037C,BSC1,Gene,BSC1,protein_coding,YDL037C
Chr4,387513,388901,gene-YDL036C,PUS9,Gene,PUS9,protein_coding,YDL036C
Chr4,389172,392057,gene-YDL035C,GPR1,Gene,GPR1,protein_coding,YDL035C
Chr4,392659,393912,gene-YDL033C,SLM3,Gene,SLM3,protein_coding,YDL033C
Chr4,394217,397204,gene-YDL031W,DBP10,Gene,DBP10,protein_coding,YDL031W
Chr4,397537,399129,gene-YDL030W,PRP9,Gene,PRP9,protein_coding,YDL030W
Chr4,399340,400638,gene-YDL029W,ARP2,Gene,ARP2,protein_coding,YDL029W
Chr4,400997,403291,gene-YDL028C,MPS1,Gene,MPS1,protein_coding,YDL028C
Chr4,403695,404957,gene-YDL027C,MRX9,Gene,MRX9,protein_coding,YDL027C
Chr4,405344,407206,gene-YDL025C,RTK1,Gene,RTK1,protein_coding,YDL025C
Chr4,408451,409857,gene-YDL024C,DIA3,Gene,DIA3,protein_coding,YDL024C
Chr4,409808,410056,gene-YDL022C-A,YDL022C-A,Gene, ,protein_coding,YDL022C-A
Chr4,410379,410451,gene-YNCD0004W,YNCD0004W,Gene, ,tRNA,YNCD0004W
Chr4,411825,413000,gene-YDL022W,GPD1,Gene,GPD1,protein_coding,YDL022W
Chr4,413953,414888,gene-YDL021W,GPM2,Gene,GPM2,protein_coding,YDL021W
Chr4,415113,416708,gene-YDL020C,RPN4,Gene,RPN4,protein_coding,YDL020C
Chr4,417663,421514,gene-YDL019C,OSH2,Gene,OSH2,protein_coding,YDL019C
Chr4,422833,423510,gene-YDL018C,ERP3,Gene,ERP3,protein_coding,YDL018C
Chr4,424209,425732,gene-YDL017W,CDC7,Gene,CDC7,protein_coding,YDL017W
Chr4,426002,426934,gene-YDL015C,TSC13,Gene,TSC13,protein_coding,YDL015C
Chr4,427364,428347,gene-YDL014W,NOP1,Gene,NOP1,protein_coding,YDL014W
Chr4,429067,430926,gene-YDL013W,SLX5,Gene,SLX5,protein_coding,YDL013W
Chr4,431108,431517,gene-YDL012C,YDL012C,Gene, ,protein_coding,YDL012C
Chr4,432330,433025,gene-YDL010W,GRX6,Gene,GRX6,protein_coding,YDL010W
Chr4,432925,433248,gene-YDL009C,YDL009C,Gene, ,protein_coding,YDL009C
Chr4,433497,433994,gene-YDL008W,APC11,Gene,APC11,protein_coding,YDL008W
Chr4,434264,434336,gene-YNCD0005C,YNCD0005C,Gene, ,tRNA,YNCD0005C
Chr4,436567,436824,gene-YDL007C-A,YDL007C-A,Gene, ,protein_coding,YDL007C-A
Chr4,437772,437853,gene-YNCD0006W,YNCD0006W,Gene, ,tRNA,YNCD0006W
Chr4,438047,439360,gene-YDL007W,RPT2,Gene,RPT2,protein_coding,YDL007W
Chr4,439909,440754,gene-YDL006W,PTC1,Gene,PTC1,protein_coding,YDL006W
Chr4,441014,442309,gene-YDL005C,MED2,Gene,MED2,protein_coding,YDL005C
Chr4,443029,443511,gene-YDL004W,ATP16,Gene,ATP16,protein_coding,YDL004W
Chr4,444683,446383,gene-YDL003W,MCD1,Gene,MCD1,protein_coding,YDL003W
Chr4,446967,447578,gene-YDL002C,NHP10,Gene,NHP10,protein_coding,YDL002C
